Pattern,Count,Complexity,Sheets,Functions,Example Formula,Implementation Status,Priority
"=CELL",2230,Simple,Earth; Mars,,"=O153",Implemented,P0
"=CELL*CELL",908,Simple,Earth; Mars,,"=B7*B8",Implemented,P0
"=SUM(CELL:CELL)",401,Medium,Earth; Mars,SUM,"=SUM(I20:I21)",Partial,P0
"=CELL/CELL",380,Simple,Earth; Mars,,"=O408/$I$408",Implemented,P0
"SHEET!CELL",367,Medium,Earth; Valuation Outputs; Mars,MIN,"=Mars!K54+Mars!K8-Mars!K27",Not Implemented,P0
"=CELL+CELL",348,Simple,Earth; Mars,,"=B9+B10",Implemented,P0
"=IF(CELL=STR,CELL,CELL)",312,Medium,Earth,IF,"=IF(J245=""Starlink Constellation Complete"",J267,J398)",Partial,P0
"=CELL-CELL",183,Simple,Earth; Mars,,"=J86-J87",Implemented,P0
"=IF(CELL=STR,CELL,NUM)",130,Medium,Earth; Mars,IF,"=IF(J264=""No"",J270,0)",Partial,P0
"=IF(CELL=STR,NUM,CELL)",104,Medium,Earth,IF,"=IF(J245=""Launch"",0,J431)",Partial,P0
"=IF(CELL=STR,CELL-CELL,NUM)",104,Medium,Earth,IF,"=IF(J275=""No"",J273-J247,0)",Partial,P0
"=IFERROR(CELL*(CELL/CELL),NUM)",104,Medium,Earth,OR, IFERROR,"=IFERROR(J298*(J290/J292),0)",Not Implemented,P0
"=(CELL+CELL)*CELL",81,Medium,Earth,,"=(I47+I55)*I65",Not Implemented,P1
"=CELL*CELL*CELL",80,Medium,Earth,,"=I48*I65*$B$70",Not Implemented,P1
"=NUM-CELL",80,Simple,Earth; Mars,,"=1-I128",Implemented,P1
"=CELL+(CELL/CELL)",78,Medium,Earth,,"=I171+(J189/J174)",Not Implemented,P1
"=IF(CELL>CELL,STR,STR)",78,Medium,Earth,IF,"=IF($B$234>J16,""Falcon 9"",""Starship"")",Partial,P1
"=MIN(CELL,CELL)",78,Medium,Earth,MIN,"=MIN(J341,J345)",Not Implemented,P1
"=INDEX(CELL:CELL,MATCH(CELL-CELL,CELL:CELL))",78,Medium,Earth,INDEX, MATCH,"=INDEX($E$428:J$428,MATCH(J410-$B411,$E$410:J$410))",Not Implemented,P1
"=CELL+NUM",76,Simple,Mars; Earth,,"=K6+1",Implemented,P1
"=CELL*(NUM-CELL)",76,Simple,Earth; Mars,,"=J329*(1-J331)",Implemented,P1
"=(CELL*CELL)",57,Simple,Earth,,"=(J249*J250)",Implemented,P1
"=CELL+CELL+CELL+CELL",54,Medium,Earth,,"=I35+I36+I37+I38",Not Implemented,P1
"=SUM(CELL:CELL,CELL)",54,Medium,Earth,SUM,"=SUM(I47:I48,I55)",Partial,P1
"=CELL/(NUM-CELL)",54,Simple,Earth,,"=I127/(1-I106)",Implemented,P1
"=(CELL+CELL)/CELL",54,Medium,Earth,,"=(I130+I159)/I65",Not Implemented,P1
"=CELL-CELL-CELL",54,Medium,Earth,,"=I119-I144-I152",Not Implemented,P1
"=CELL+CELL+CELL",54,Medium,Earth,,"=I171+I172+I173",Not Implemented,P1
"=IF(CELL>=NUM,MIN(CELL,CELL*(NUM+CELL)),MAX(CELL*(NUM+CELL),CELL))",52,Complex,Earth,IF, MAX, MIN,"=IF($B$106>=0,MIN($B$105,I106*(1+$B$106)),MAX(I106*(1+$B$106),$B$105))",Partial,P1
"=(CELL*CELL*CELL)+(CELL*CELL)",52,Medium,Earth,,"=(J219*J221*J222)+(J225*J219)",Not Implemented,P1
"=(CELL/CELL)/(NUM/CELL)",52,Medium,Earth,,"=(J258/J253)/(1/J42)",Not Implemented,P1
"=IF(AND(CELL=STR,CELL=STR,CELL=STR),CELL-CELL,NUM)",52,Medium,Earth,IF, AND,"=IF(AND(J264=""No"",J265=""No"",J234=""Falcon 9""),J261-J25,0)",Partial,P1
"=IF(CELL>=CELL,STR,STR)",52,Medium,Earth,IF,"=IF(J247>=J273,""Yes"",""No"")",Partial,P1
"=IFERROR(MAX(CELL,CELL)+(CELL/CELL),MAX(CELL,CELL))",52,Complex,Earth,MAX, OR, IFERROR,"=IFERROR(MAX(I278,I361)+(J276/J281),MAX(I278,I361))",Not Implemented,P1
"=IF(AND(CELL=STR,CELL=STR),CELL+CELL,NUM)",52,Medium,Earth,IF, AND,"=IF(AND(J245=""Starlink Constellation Complete"",J275=""Yes""),J25+J26,0)",Partial,P1
"=IF(AND(CELL=STR,CELL=STR),(CELL/CELL)-CELL,NUM)",52,Medium,Earth,IF, AND,"=IF(AND(J245=""Starlink Constellation Complete"",J275=""Yes""),(J286/J288)-J270,0)",Partial,P1
"=CELL*(NUM+CELL)",52,Simple,Earth,,"=I295*(1+$B$295)",Implemented,P1
"=IF(CELL=STR,(SUM(CELL,CELL)/CELL)-CELL,CELL-CELL)",52,Medium,Earth,IF, SUM,"=IF(J275=""No"",(SUM(J25,J26)/J42)-J270,J290-J299)",Partial,P1
"=CELL+((CELL+CELL+CELL)*(NUM/CELL))",52,Medium,Earth,,"=J380+((J382+J226+J227)*(1/J385))",Not Implemented,P1
"=MAX(CELL:CELL)*(NUM+CELL)",52,Medium,Earth,MAX,"=MAX($I$20:I20)*(1+$B$394)",Not Implemented,P1
"SHEET!CELL)*CELL)",27,Medium,Earth,MIN,"=-(MIN(Mars!E14,Mars!E15)*I43)",Not Implemented,P2
"=MAX(-CELL,IF(CELL>CELL,-CELL,-(CELL*CELL)))",27,Medium,Earth,IF, MAX,"=MAX(-I35,IF($B$31>I16,-I35,-(I59*$B$28)))",Partial,P2
"=-CELL",27,Simple,Earth,,"=-I32",Implemented,P2
"=CELL/NUM",27,Simple,Earth,,"=I66/0.75",Implemented,P2
"SHEET!CELL))*(IF((CELL*(NUM-CELL))>MAX(SHEET!CELL:CELL),INDEX(SHEET!CELL:CELL, MATCH(NUM999999999999E+NUM,SHEET!CELL:CELL)),INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM))
+ ((CELL*(NUM-CELL)) - INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM))) *
( INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM)) ) /
( INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH((CELL*(NUM-CELL)), SHEET!CELL:CELL, NUM)) )))",27,Complex,Earth,IF, INDEX, MATCH, MAX,"=$B$95*(((1+$B$94)*(1+$B$96))^(Earth!I16-Earth!$I$16))*(IF((I91*(1-I92))>MAX('Earth Bandwidth TAM'!$A$8:$A$1012),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(9.999999999999E+307,'Earth Bandwidth TAM'!$A$8:$A$1012)),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))
+ ((I91*(1-I92)) - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))) *
( INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) ) /
( INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((I91*(1-I92)), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) )))",Partial,P2
"=(CELL-CELL)*CELL*CELL",27,Medium,Earth,,"=(I86-H86)*I426*I122",Not Implemented,P2
"=CELL+CELL+CELL+CELL+CELL+CELL",27,Medium,Earth,,"=I187+I186+I185+I189+I190+I191",Not Implemented,P2
"=CELL-CELL+CELL",27,Medium,Earth,,"=I182-I192+I196",Not Implemented,P2
"=MAX(CELL,CELL)",27,Medium,Earth,MAX,"=MAX(I361,I278)",Not Implemented,P2
"=MAX(-CELL,-(CELL*CELL))",26,Medium,Earth,MAX,"=MAX(-J27,-(J58*$B$28))",Not Implemented,P2
"=(CELL/NUM)*(CELL/CELL)^((LN(NUM-CELL)/LN(NUM)))+(NUM/NUM)",26,Medium,Earth,LN,"=($B$42/365)*(I77/$B$77)^((LN(1-$B$43)/LN(2)))+(2/365)",Not Implemented,P2
"=IF(CELL>CELL,NUM,((CELL/NUM)*(CELL/CELL)^((LN(NUM-CELL)/LN(NUM))))+(NUM/(NUM*NUM)))",26,Medium,Earth,IF, LN,"=IF($B$31>J16,1,(($B$42/365)*(I80/$B$80)^((LN(1-$B$43)/LN(2))))+(1/(24*365)))",Partial,P2
"=IF(CELL>=NUM,MIN(CELL,CELL*(NUM+CELL)),MAX(CELL,CELL*(NUM+CELL)))",26,Complex,Earth,IF, MAX, MIN,"=IF($B$65>=0,MIN($B$64,I66*(1+$B$65)),MAX($B$66,I66*(1+$B$65)))",Partial,P2
"=CELL+((CELL*(CELL+CELL))+(CELL*(CELL+CELL)))",26,Medium,Earth,,"=I86+((J83*(J47+J55))+(J84*(J50+J56)))",Not Implemented,P2
"=CELL+(CELL*CELL)-(CELL*CELL)",26,Medium,Earth,,"=I90+(J426*J428)-(J431*J435)",Not Implemented,P2
"=(CELL+(CELL*CELL)-(CELL*CELL))",26,Medium,Earth,,"=(I91+(J428*J425)-(J431*J434))",Not Implemented,P2
"=(CELL/(CELL*(NUM-CELL)))*(CELL/(CELL/(CELL*(NUM-CELL))))",26,Medium,Earth,,"=(J95/(J91*(1-J92)))*($I$98/($I$95/($I$91*(1-$I$92))))",Not Implemented,P2
"=MIN(((CELL-(NUM/(NUM*NUM)))*CELL)/(CELL-(NUM/(NUM*NUM))),NUM)",26,Medium,Earth,MIN,"=MIN(((J43-(1/(24*365)))*$I$128)/($I$42-(1/(24*365))),1)",Not Implemented,P2
"=MIN(NUM,IF(CELL>=NUM,CELL,CELL*(NUM-(CELL/NUM))))",26,Medium,Earth,IF, MIN,"=MIN(1,IF(J244>=0,I147,I147*(1-(J244/4))))",Partial,P2
"=CELL*(CELL-CELL)",26,Medium,Earth,,"=$B$189*(J86-I86)",Not Implemented,P2
"=(CELL*(NUM-CELL))",26,Simple,Earth,,"=(I91*(1-I92))",Implemented,P2
"=-IF(CELL=STR,(CELL+CELL+CELL+CELL)/(CELL*CELL),(CELL+CELL+CELL+CELL)/(CELL*CELL))",26,Complex,Earth,IF,"=-IF(J234=""Starship"",(J230+J215+J226+J227)/(J423*J220),(J229+J209+J226+J227)/(J418*J219))",Partial,P2
"=(IF((CELL+NUM)>MAX(SHEET!CELL:CELL),INDEX(SHEET!CELL:CELL, MATCH(NUM999999999999E+NUM,SHEET!CELL:CELL)),INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM))
+ ((CELL+NUM) - INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM))) *
( INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM)) ) /
( INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH((CELL+NUM), SHEET!CELL:CELL, NUM)) ))

-IF(CELL>MAX(SHEET!CELL:CELL),INDEX(SHEET!CELL:CELL, MATCH(NUM999999999999E+NUM,SHEET!CELL:CELL)),INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM))
+ (CELL - INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM))) *
( INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM)) ) /
( INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM)+NUM) - INDEX(SHEET!CELL:CELL, MATCH(CELL, SHEET!CELL:CELL, NUM)) )))",26,Complex,Earth,IF, INDEX, MATCH, MAX,"=(IF((J236+1)>MAX('Earth Bandwidth TAM'!$A$8:$A$1012),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(9.999999999999E+307,'Earth Bandwidth TAM'!$A$8:$A$1012)),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))
+ ((J236+1) - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))) *
( INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) ) /
( INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH((J236+1), 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) ))

-IF(J236>MAX('Earth Bandwidth TAM'!$A$8:$A$1012),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(9.999999999999E+307,'Earth Bandwidth TAM'!$A$8:$A$1012)),INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))
+ (J236 - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1))) *
( INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$B$8:$B$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) ) /
( INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)+1) - INDEX('Earth Bandwidth TAM'!$A$8:$A$1012, MATCH(J236, 'Earth Bandwidth TAM'!$A$8:$A$1012, 1)) )))",Partial,P2
"=IFERROR(IRR(CELL:CELL),NUM)",26,Complex,Earth,OR, IFERROR, IRR,"=IFERROR(IRR(J237:J242),0)",Not Implemented,P2
"=IF(CELL=STR,STR,IF(CELL=STR,IF(CELL>CELL,STR,STR),STR))",26,Medium,Earth,IF,"=IF(I245=""Starlink Constellation Complete"",""Starlink Constellation Complete"",IF(J234=""Starship"",IF(J243>$B$243,""Launch"",""Starlink Constellation Complete""),""Launch""))",Partial,P2
"=IF(CELL=STR,NUM,IF(CELL>=NUM,CELL,NUM))",26,Medium,Earth,IF,"=IF(J245=""Launch"",0,IF(J232>=0,J232,0))",Partial,P2
"=IF(OR(CELL=STR,AND(CELL=STR,CELL=STR)),CELL/CELL,NUM)",26,Complex,Earth,IF, AND, OR,"=IF(OR(J234=""Falcon 9"",AND(J265=""No"",J264=""Yes"")),J258/J253,0)",Partial,P2
"=IF(CELL=STR,IF(AND(CELL=STR, CELL=STR),NUM,CELL/CELL),NUM)",26,Medium,Earth,IF, AND,"=IF(J234=""Starship"",IF(AND(J265=""No"", J264=""Yes""),0,J259/J254),0)",Partial,P2
"=(CELL*CELL)+(CELL*CELL)+(CELL*(CELL+CELL+CELL))+(CELL*(CELL+CELL+CELL))",26,Complex,Earth,,"=(J267*J210)+(J268*J216)+(J270*(J229+J226+J227))+(J271*(J230+J226+J227))",Not Implemented,P2
"=CELL/SUM(CELL:CELL)",26,Medium,Earth,SUM,"=J283/SUM(J226:J227)",Partial,P2
"=MIN(CELL,CELL,CELL)",26,Medium,Earth,MIN,"=MIN(J296,J292,J284)",Not Implemented,P2
"=CELL*(CELL+CELL)",26,Medium,Earth,,"=J298*(J226+J227)",Not Implemented,P2
"=CELL-CELL+CELL-CELL",26,Medium,Earth,,"=J247-J273+J276-J303",Not Implemented,P2
"=IF(CELL=STR,IF(CELL>=NUM,CELL,NUM),NUM)",26,Medium,Earth,IF,"=IF(J245=""Launch"",IF(J232>=0,J232,0),0)",Partial,P2
"=IF(CELL=STR,NUM%,NUM)",26,Medium,Earth,IF,"=IF(J234=""Falcon 9"",66%,0)",Partial,P2
"=IF(CELL>=NUM,MIN(NUM,CELL*(NUM+CELL)),MAX(CELL*(NUM+CELL),CELL))",26,Complex,Earth,IF, MAX, MIN,"=IF($B$334>=0,MIN(1,I332*(1+$B$334)),MAX(I332*(1+$B$334),$B$333))",Partial,P2
"=IF(CELL=STR,CELL*CELL,NUM)",26,Medium,Earth,IF,"=IF(J245=""Launch"",J344*$B$345,0)",Partial,P2
"=(CELL+CELL)*(CELL+CELL)",26,Medium,Earth,,"=(J337+J347)*(J226+J227)",Not Implemented,P2
"=IF(CELL=STR,CELL/CELL,NUM)",26,Medium,Earth,IF,"=IF(J234=""Falcon 9"",J378/J388,0)",Partial,P2
"=IF(CELL=STR,NUM,CELL/CELL)",26,Medium,Earth,IF,"=IF(J234=""Falcon 9"",0,J378/J389)",Partial,P2
"=IF(CELL=STR,IF(CELL<CELL,(CELL-CELL)*CELL,NUM),IF(CELL<CELL,(CELL-CELL)*CELL,NUM))",26,Complex,Earth,IF,"=IF(J234=""Falcon 9"",IF(J398<J391,(J391-J398)*J388,0),IF(J399<J392,(J392-J399)*J389,0))",Partial,P2
"=(CELL)*(CELL/CELL)^((LN(NUM+CELL)/LN(NUM)))",26,Medium,Earth,LN,"=($B$423)*(I413/$B$422)^((LN(1+$B$421)/LN(2)))",Not Implemented,P2
"=SUM(CELL:CELL)-SUM(CELL:CELL)",26,Medium,Mars,SUM,"=SUM($F7:F7)-SUM($E27:E27)",Partial,P2
"SHEET!CELL,MOD(CELL,NUM)=NUM),STR,STR)",26,Complex,Mars,IF, AND, MOD,"=IF(AND(F6>=Earth!$B234,MOD(F6,2)=0),""Go For Launch"",""It Ain't Your Year"")",Partial,P2
"SHEET!CELL+CELL/CELL",26,Medium,Mars,,"=Earth!J139*Earth!J135*(F37+1)+F38*Earth!J216/Earth!J66+F43/$B45",Not Implemented,P2
"=IFERROR(CELL/CELL,STR)",26,Medium,Mars,OR, IFERROR,"=IFERROR(F10/F11,"""")",Not Implemented,P2
"=CELL*(CELL+NUM)",26,Simple,Mars,,"=F12*(F37+1)",Implemented,P2
"=IF(CELL<=CELL,SHEET!STR)",26,Medium,Mars,IF,"=IF(F15<=F14,""We Need More Rockets!"",""We Need More Money!"")",Partial,P2
"=ROUNDDOWN(MIN(CELL:CELL)/(CELL+NUM),NUM)*(NUM+CELL)",26,Medium,Mars,MIN, ROUNDDOWN,"=ROUNDDOWN(MIN(F22:F23)/(F37+1),0)*(1+F37)",Not Implemented,P2
"=IF(CELL=NUM,NUM,IF(AND(CELL>NUM,CELL=NUM),CELL,CELL*(NUM-CELL)^LOG(CELL/CELL,NUM)))",26,Complex,Mars,IF, AND, LOG,"=IF(F29=0,0,IF(AND(F29>0,E30=0),$B30,E30*(1-$B31)^LOG(F29/E29,2)))",Partial,P2
"=SUM(CELL,CELL)*(NUM+CELL)",26,Medium,Mars,SUM,"=SUM(F19,F25)*(1+F37)",Partial,P2
"SHEET!CELL/NUM)",26,Medium,Mars,EXP,"=(((Earth!J67/1000)+(0.186*(39.68*(Earth!J67/1000)^0.766)^0.85))*(EXP(5500/(F36*9.80665))-1))/(Earth!J67/1000)",Not Implemented,P2
"=CELL/CELL*CELL",26,Medium,Mars,,"=F31/$B45*$B40",Not Implemented,P2
"=SUM(CELL:CELL)-OFFSET(CELL,NUM,MAX(-CELL,-(COLUMN()-NUM)))",26,Complex,Mars,SUM, MAX, OFFSET, COLUMN,"=SUM($F47:F47)-OFFSET(F52,0,MAX(-$B51,-(COLUMN()-5)))",Partial,P2
"=CELL+CELL*(NUM-NUM/CELL)",26,Medium,Mars,,"=F53+E54*(1-1/$B54)",Not Implemented,P2
"=IFERROR((CELL-CELL)/CELL,NUM)",25,Medium,Earth,OR, IFERROR,"=IFERROR((K243-J243)/J243,0)",Not Implemented,P2
"=(CELL+CELL)*(NUM-CELL)",25,Medium,Mars,,"=(F25+F19)*(1-F30)",Not Implemented,P2
"=CELL*(NUM+CELL)^(LOG(COLUMN()-COLUMN(CELL)+NUM,NUM))",25,Medium,Mars,LOG, COLUMN,"=$F44*(1+$B52)^(LOG(COLUMN()-COLUMN($F44)+1,2))",Not Implemented,P2
"=RAND()",17,Medium,Valuation Inputs & Logic,AND,"=RAND()",Not Implemented,P2
"=(CELL-CELL)/NUM+CELL",17,Medium,Valuation Inputs & Logic,,"=(E32-D32)/2+D32",Not Implemented,P2
"=SHEET!CELL",16,Simple,Earth; Mars,,"='Valuation Inputs & Logic'!I32",Implemented,P2
"=IF(CELL=CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))<CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))>CELL,CELL,NORM.INV(CELL,CELL,(CELL-CELL)))))",15,Complex,Valuation Inputs & Logic,IF,"=IF(H33=E33,H33,IF(NORM.INV(G33,H33,(E33-H33))<C33,C33,IF(NORM.INV(G33,H33,(E33-H33))>F33,F33,NORM.INV(G33,H33,(E33-H33)))))",Partial,P2
"=QUARTILE(SHEET!CELL:CELL,NUM)/NUM^NUM",6,Medium,Valuation Inputs & Logic,QUARTILE,"=QUARTILE('Valuation Outputs'!$M$7:$M$5006,1)/10^9",Not Implemented,P3
"=RRI(((CELL-CELL)/NUM),CELL,CELL)",5,Medium,Valuation Inputs & Logic,RRI,"=RRI(((D$13-$B$13)/365),$B$15,D15)",Not Implemented,P3
"=_xlfn.RRI(((CELL-CELL)/NUM),CELL,CELL)",4,Medium,Valuation Inputs & Logic,RRI,"=_xlfn.RRI(((C$8-$B$8)/365),$B$10,C10)",Not Implemented,P3
"=RRI(NUM,CELL,CELL)",4,Medium,Earth,RRI,"=RRI(6,I66,B66)",Not Implemented,P3
"=AVERAGE(SHEET!CELL:CELL)/NUM^NUM",3,Medium,Valuation Inputs & Logic,AVERAGE,"=AVERAGE('Valuation Outputs'!$M$7:$M$5006)/10^9",Not Implemented,P3
"=NUM/CELL",2,Simple,Earth,,"=1/$B$28",Implemented,P3
"=NUM/NUM",2,Simple,Earth; Mars,,"=96/575",Implemented,P3
"=ROUNDDOWN(MAX(IF(CELL=CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))<CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))>CELL,CELL,NORM.INV(CELL,CELL,(CELL-CELL))))),CELL),NUM)",1,Complex,Valuation Inputs & Logic,IF, MAX, ROUNDDOWN,"=ROUNDDOWN(MAX(IF(H32=D32,H32,IF(NORM.INV(G32,H32,(D32-H32))<C32,C32,IF(NORM.INV(G32,H32,(D32-H32))>F32,F32,NORM.INV(G32,H32,(D32-H32))))),I38),0)",Partial,P3
"=ROUNDDOWN(IF(CELL=CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))<CELL,CELL,IF(NORM.INV(CELL,CELL,(CELL-CELL))>CELL,CELL,NORM.INV(CELL,CELL,(CELL-CELL))))),NUM)",1,Complex,Valuation Inputs & Logic,IF, ROUNDDOWN,"=ROUNDDOWN(IF(H38=D38,H38,IF(NORM.INV(G38,H38,(D38-H38))<C38,C38,IF(NORM.INV(G38,H38,(D38-H38))>F38,F38,NORM.INV(G38,H38,(D38-H38))))),0)",Partial,P3
"=CELL/(CELL*CELL)",1,Medium,Earth,,"=I99/(I91*I92)",Not Implemented,P3
"=CELL*CELL*CELL*NUM",1,Medium,Mars,,"=$B50*$B49*$B47*365",Not Implemented,P3